05VT_VM03D-09.MCR@GRARM;05VT_LP01AO-03.MCR@GRARM;
2020-11-01 22:35:31;0.0;
2020-11-01 22:44:23;0.0;
2020-11-01 23:00:58;0.0;
2020-11-01 23:30:03;0.0;
2020-11-02 00:29:56;0.0;
2020-11-02 00:36:30;0.0;
2020-11-02 01:01:37;0.0;
2020-11-02 01:46:35;0.0;
2020-11-02 22:37:53;0.0;
2020-11-03 14:50:43;0.0;
2020-11-03 14:57:40;0.0;
2020-11-03 15:12:44;0.0;
2020-11-06 22:45:08;0.0;
2020-11-08 21:19:55;0.0;
2020-11-10 22:42:36;0.0;
2020-11-12 01:08:23;0.0;
2020-11-15 03:44:16;0.0;
2020-11-18 20:30:57;0.0;
2020-11-20 15:58:01;0.0;
2020-11-21 20:15:26;0.0;
2020-11-22 19:50:06;0.0;
2020-11-23 20:20:25;0.0;
2020-11-24 15:55:20;0.0;
2020-11-24 20:08:53;0.0;
2020-11-25 19:43:18;0.0;
2020-11-26 01:16:44;107.482;
2020-11-27 20:55:42;0.0;
2020-11-30 20:12:15;0.0;
2020-12-02 20:13:19;0.0;
2020-12-03 11:21:48;0.0;
2020-12-03 11:24:36;97.970001;
2020-12-03 19:43:06;0.0;
2020-12-04 08:18:40;105.192;
2020-12-04 14:58:11;0.0;
2020-12-04 19:42:25;0.0;
2020-12-08 19:42:52;0.0;
2020-12-10 20:42:45;0.0;
2020-12-11 23:02:51;0.0;
2020-12-12 19:40:09;0.0;
2020-12-13 20:44:47;0.0;
2020-12-14 23:03:53;0.0;
2020-12-16 19:48:01;0.0;
2020-12-18 20:28:59;0.0;
2020-12-21 20:43:14;0.0;
2020-12-23 07:09:42;0.0;
2020-12-23 09:40:58;102.142;
2020-12-23 09:52:53;105.016;
2020-12-23 16:59:19;104.367;
2020-12-23 22:09:29;99.944;
2020-12-25 13:08:09;0.0;
2020-12-25 13:14:06;0.0;
2020-12-26 17:54:27;0.0;
2020-12-28 23:03:37;0.0;
