05VT_GC01D-21.MCR@GRARM;05VT_LP01AO-05.MCR@GRARM;
2020-01-03 09:06:31;0.58673;
2020-01-08 10:03:40;0.69155997;
2020-01-11 20:14:38;0.25545001;
2020-01-13 08:43:21;0.17314;
2020-01-15 18:13:04;0.45352;
2020-01-16 22:51:11;0.36787;
2020-01-20 12:31:23;0.14382;
2020-01-22 13:49:11;0.22674;
2020-01-24 23:05:37;0.72338998;
2020-01-28 00:04:52;0.73330998;
2020-01-28 11:08:25;0.74681002;
2020-01-30 06:58:35;0.81993002;
2020-01-30 22:37:38;0.47882;
2020-02-04 22:25:34;0.56198001;
2020-02-05 14:27:19;0.44847;
2020-02-08 17:09:08;0.40109;
2020-02-11 15:28:47;0.25648999;
2020-02-13 07:17:09;0.14308;
2020-02-13 23:18:11;0.15222999;
2020-02-17 09:00:33;0.65952998;
2020-02-21 20:51:03;0.23763999;
2020-02-23 22:06:51;0.32199001;
2020-02-25 13:32:48;0.29725;
2020-02-27 23:24:08;0.48126999;
2020-03-02 02:36:02;0.493;
2020-03-02 23:23:01;0.53918999;
2020-03-03 22:27:19;0.16085;
2020-03-04 13:34:06;0.19809;
2020-03-05 22:15:01;0.18437999;
2020-03-09 22:25:36;0.60140002;
2020-03-13 22:10:51;0.32093999;
2020-03-14 05:50:32;0.21002001;
2020-03-14 22:21:31;0.15954;
2020-03-17 01:26:10;0.67227;
2020-03-17 23:55:40;0.27124;
2020-03-18 21:56:39;0.35220999;
2020-03-19 09:21:28;0.2146;
2020-03-19 14:12:28;0.48644999;
2020-03-20 02:06:00;0.34349999;
2020-03-20 21:43:29;0.25797999;
2020-03-21 00:00:20;0.13823;
2020-03-22 01:48:37;0.15271001;
2020-03-24 08:54:08;0.20827;
2020-03-24 15:24:29;0.30410999;
2020-03-25 09:17:32;0.14981;
2020-03-25 22:03:08;0.17457999;
2020-03-25 22:49:10;0.22021;
2020-03-25 23:44:23;0.48223001;
2020-03-26 04:29:32;0.43452001;
2020-03-26 13:00:06;0.92859;
2020-03-27 10:54:53;0.13709;
2020-03-27 22:25:20;0.45831999;
2020-03-27 23:38:53;0.17709;
2020-03-28 01:59:12;0.34198001;
2020-03-30 02:18:16;0.37399;
2020-04-09 11:33:56;0.51477998;
2020-04-09 21:51:58;0.18946999;
2020-04-09 22:50:03;0.3973;
2020-04-10 08:23:20;0.28968;
2020-04-10 10:10:40;0.1499;
2020-04-10 10:58:09;0.1873;
2020-04-10 15:18:30;0.30037001;
2020-04-11 09:44:22;0.87540001;
2020-04-13 17:02:01;0.34746999;
2020-04-15 09:12:36;0.83177;
2020-04-18 04:10:11;0.29437;
