07VT_GC01D-21.MCR@GRARM;07VT_LP01AO-05.MCR@GRARM;
2020-01-01 14:03:41;0.97307998;
2020-01-02 09:14:53;1.29564;
2020-01-03 14:09:34;1.07116;
2020-01-04 09:18:40;1.02704;
2020-01-06 09:31:47;0.53214002;
2020-01-08 07:02:17;0.99601001;
2020-01-11 12:39:55;0.83622998;
2020-01-13 22:52:51;0.46179;
2020-01-14 22:45:24;0.45379001;
2020-01-16 13:46:01;0.34259999;
2020-01-19 02:09:06;0.80461001;
2020-01-21 22:35:28;0.74813002;
2020-01-24 22:45:26;1.05625;
2020-01-27 01:28:38;0.82778001;
2020-01-28 08:41:41;1.1917;
2020-01-30 09:41:06;0.40831;
2020-02-02 11:51:16;0.60583001;
2020-02-06 22:48:55;0.45502001;
2020-02-08 20:20:20;0.57244003;
2020-02-10 09:19:47;0.33186001;
2020-02-19 22:44:59;0.41740999;
2020-02-25 09:09:42;0.64727002;
2020-02-26 09:24:43;0.35837999;
2020-02-26 16:28:45;0.39770001;
2020-02-27 15:20:57;0.39017001;
2020-02-29 15:25:45;0.47661;
2020-03-12 01:50:28;0.46562999;
2020-03-15 13:04:43;0.11112;
2020-03-18 01:25:30;0.41891;
2020-03-18 10:48:33;0.37715;
2020-03-19 10:55:58;0.090549998;
2020-03-26 00:03:00;0.47167999;
2020-03-28 01:59:16;0.10978;
2020-04-03 21:13:16;0.40213999;
2020-04-05 21:44:58;0.34665999;
2020-04-14 09:52:23;0.33087999;
2020-04-15 09:12:52;0.35256001;
2020-04-18 08:11:40;0.088019997;
2020-04-18 22:44:24;0.11464;
2020-04-29 00:00:06;0.36313999;
2020-05-07 00:20:14;0.50007999;
2020-06-08 18:16:41;1.30004;
2020-06-10 08:57:12;0.89924002;
2020-06-12 10:58:05;1.72227;
2020-06-14 02:06:12;0.90022999;
2020-06-16 06:34:29;1.2767299;
2020-06-17 08:33:39;0.43441999;
2020-06-21 02:18:53;1.68196;
2020-06-22 16:28:48;0.82919002;
2020-06-24 10:52:32;1.74984;
2020-06-26 21:30:46;0.97144997;
2020-06-27 00:27:40;0.66764998;
2020-06-27 01:42:31;1.53853;
2020-06-27 11:36:56;0.41382;
2020-06-27 17:43:21;0.59425998;
2020-06-29 14:56:47;1.28587;
2020-06-29 15:36:39;0.84328997;
2020-06-30 20:38:16;1.64237;
2020-07-06 02:44:18;1.54609;
2020-07-06 11:33:01;1.65513;
2020-07-06 13:58:43;1.40455;
2020-07-06 18:43:32;1.2321399;
2020-07-10 02:03:07;1.22729;
2020-07-12 14:44:59;1.50437;
2020-07-15 02:36:24;1.04706;
2020-07-15 17:32:19;1.43266;
2020-07-16 12:51:29;1.3325;
2020-07-27 13:45:21;1.37736;
2020-07-28 13:45:21;0.80238003;
2020-08-06 10:07:53;1.20228;
2020-08-12 02:01:27;1.0806201;
2020-08-17 02:01:21;0.98131001;
2020-08-28 13:19:46;0.0;
2020-08-28 13:21:58;0.0;
2020-08-28 13:23:25;0.0;
2020-08-28 13:25:28;0.0;
2020-08-28 13:47:00;0.0;
2020-08-28 14:33:35;0.0;
2020-08-28 14:59:25;0.0;
2020-08-28 15:06:50;0.0;
2020-09-01 11:23:55;0.0;
2020-09-16 16:34:22;0.76696002;
2020-10-05 02:02:53;1.3349;
2020-10-06 07:41:18;0.64043999;
2020-10-06 17:51:26;0.56023002;
2020-10-17 07:27:55;1.37298;
2020-11-26 16:46:45;0.61479002;
2020-11-27 10:33:09;0.68383998;
2020-11-29 04:02:19;0.65537;
2020-12-08 08:38:15;1.22772;
2020-12-10 01:58:50;0.66079998;
2020-12-11 05:02:25;1.0290999;
