09VT_GB01DI-02.UNIT09@BLOCK5;09VT_LP02AO-05.UNIT09@BLOCK5;
2020-01-01 00:33:45;0.153;
2020-01-02 16:08:35;0.15099999;
2020-01-04 02:35:48;0.37900001;
2020-01-05 09:17:22;0.331;
2020-01-07 21:47:08;0.177;
2020-01-10 01:33:38;0.175;
2020-01-11 20:48:35;0.184;
2020-01-12 20:32:17;0.35299999;
2020-01-13 22:22:55;0.22;
2020-01-14 23:20:11;0.271;
2020-01-15 22:54:02;0.14399999;
2020-01-17 22:39:04;0.097000003;
2020-01-19 10:24:29;0.186;
2020-01-21 22:53:56;0.233;
2020-01-24 22:35:57;0.108;
2020-01-26 20:47:09;0.73000002;
2020-01-27 23:20:25;0.168;
2020-01-28 23:46:58;0.28;
2020-01-29 23:50:30;0.138;
2020-01-30 22:51:47;0.243;
2020-02-01 00:30:31;0.21799999;
2020-02-02 14:00:27;0.347;
2020-02-04 00:45:31;0.19499999;
2020-02-05 00:31:22;0.18099999;
2020-02-07 01:32:45;0.55500001;
2020-02-07 22:50:43;0.27900001;
2020-02-08 21:14:01;0.17200001;
2020-02-10 01:21:00;0.146;
2020-02-10 22:54:45;0.27599999;
2020-02-12 02:57:12;0.78200001;
2020-02-12 22:50:00;0.15800001;
2020-02-13 23:50:04;0.162;
2020-02-14 23:50:21;0.20900001;
2020-02-21 22:30:15;0.17900001;
2020-02-25 09:23:48;0.44999999;
2020-02-26 22:15:08;0.115;
2020-02-27 10:20:15;0.252;
2020-02-27 17:25:22;0.168;
2020-02-28 07:33:55;0.205;
2020-02-28 22:33:41;0.146;
2020-02-29 10:53:22;0.23999999;
2020-02-29 17:18:48;0.18000001;
2020-03-13 15:14:17;0.082000002;
2020-03-14 02:38:04;0.242;
2020-03-14 09:17:30;0.252;
2020-03-14 15:05:54;0.14;
2020-03-14 16:04:30;0.60000002;
2020-03-14 16:34:37;0.34200001;
2020-03-15 13:50:33;0.093000002;
2020-03-16 21:59:40;0.17;
2020-03-17 21:30:54;0.16599999;
2020-03-18 03:11:47;0.30700001;
2020-03-18 15:33:18;0.36500001;
2020-03-19 15:49:53;0.28200001;
2020-03-20 08:38:02;0.72500002;
2020-03-20 14:15:13;0.21799999;
2020-03-20 18:47:50;0.19400001;
2020-03-21 02:50:18;0.30899999;
2020-03-22 22:35:12;0.22;
2020-03-23 11:11:07;0.88499999;
2020-03-23 13:29:18;0.121;
2020-03-23 15:39:22;0.082999997;
2020-03-23 21:57:33;0.62;
2020-03-24 01:22:04;0.36000001;
2020-03-24 01:43:15;0.34400001;
2020-03-25 22:49:32;0.123;
2020-03-25 23:44:55;0.183;
2020-03-26 04:29:19;0.29800001;
2020-03-26 11:38:58;0.35100001;
2020-03-26 13:00:25;0.396;
2020-03-26 17:28:14;0.43700001;
2020-03-27 00:33:48;0.113;
2020-03-27 23:23:04;0.29899999;
2020-03-28 05:40:24;0.208;
2020-03-28 23:37:55;0.244;
2020-03-31 10:25:37;0.18099999;
2020-04-01 20:56:02;0.44800001;
2020-04-03 09:17:19;0.15700001;
2020-04-06 00:38:59;0.234;
2020-04-08 18:59:24;0.45199999;
2020-04-08 21:07:19;0.51499999;
2020-04-10 00:09:06;0.296;
2020-04-10 09:07:20;0.186;
2020-04-13 17:01:20;0.29100001;
2020-04-13 19:54:07;0.2;
2020-04-15 09:12:33;0.154;
2020-04-15 09:51:53;0.62800002;
2020-04-16 09:37:56;0.46900001;
2020-04-17 09:31:58;0.28799999;
2020-04-18 09:02:18;0.18799999;
2020-04-18 12:59:44;0.089000002;
2020-04-18 15:48:56;0.107;
2020-04-18 20:56:05;0.37599999;
2020-04-19 21:58:07;0.124;
2020-04-20 00:41:17;0.296;
2020-04-20 00:59:29;0.375;
2020-04-20 02:23:49;0.479;
2020-04-24 01:23:52;0.146;
2020-04-26 21:12:57;0.542;
2020-04-27 12:39:37;0.46399999;
2020-04-27 23:19:13;0.108;
2020-04-28 20:54:41;0.142;
2020-04-29 18:55:37;0.237;
2020-04-30 10:06:46;0.46000001;
2020-05-01 23:56:23;0.213;
2020-05-03 10:37:13;0.41800001;
2020-05-07 11:00:34;0.147;
2020-05-08 21:16:20;0.18000001;
2020-06-10 09:39:25;0.50199997;
2020-06-11 01:45:37;0.39399999;
2020-06-12 01:52:51;0.233;
2020-06-12 09:55:12;0.23899999;
2020-06-14 02:08:26;0.21799999;
2020-06-14 16:21:07;0.242;
2020-06-17 18:37:22;0.213;
2020-06-18 08:16:56;0.29300001;
2020-06-20 05:50:40;0.292;
2020-06-22 18:27:17;0.27399999;
2020-06-23 08:53:14;0.111;
2020-06-23 10:52:12;0.169;
2020-06-24 15:37:13;0.236;
2020-06-27 00:28:30;0.26199999;
2020-06-27 11:36:53;0.17299999;
2020-06-27 17:43:21;0.12899999;
2020-06-29 01:53:55;0.31600001;
2020-06-29 10:31:03;0.206;
2020-06-30 11:36:09;0.252;
2020-07-02 10:30:04;0.528;
2020-07-03 08:46:07;0.30700001;
2020-07-03 23:32:57;0.182;
2020-07-05 10:08:42;0.37799999;
2020-07-06 19:18:58;0.252;
2020-07-07 01:34:50;0.53100002;
2020-07-08 08:11:38;0.29300001;
2020-07-10 23:54:21;0.382;
2020-07-11 01:06:26;0.39500001;
2020-07-12 13:05:21;0.25999999;
2020-07-12 20:55:11;0.19400001;
2020-07-13 00:48:52;0.244;
2020-07-18 00:32:30;0.317;
2020-07-19 01:46:08;0.208;
2020-07-19 17:25:24;0.42399999;
2020-07-20 01:42:50;0.15000001;
2020-07-24 04:05:59;0.285;
2020-07-26 06:53:08;0.472;
2020-07-27 01:30:26;0.58499998;
2020-07-27 13:45:21;0.13600001;
2020-07-28 01:39:42;0.23;
2020-07-28 13:45:24;0.184;
2020-07-28 18:48:44;0.20299999;
2020-07-30 01:52:03;0.19499999;
2020-07-31 00:53:24;0.199;
2020-08-05 19:49:18;0.47999999;
2020-08-07 05:46:49;0.33899999;
2020-08-09 09:22:59;0.32300001;
2020-08-10 19:30:06;0.28799999;
2020-08-11 07:53:15;0.292;
2020-08-12 05:28:52;0.27500001;
2020-08-21 22:13:36;0.43700001;
2020-08-27 17:48:36;0.212;
2020-08-29 13:36:22;0.248;
2020-09-04 17:38:05;0.142;
2020-09-07 07:26:54;0.24600001;
2020-09-08 13:32:07;0.14;
2020-09-08 23:18:10;0.61900002;
2020-09-09 10:46:41;0.13699999;
2020-09-11 01:16:13;0.41800001;
2020-09-12 06:17:33;0.248;
2020-09-12 14:04:44;0.27200001;
2020-09-14 23:37:36;0.331;
2020-09-15 12:46:50;0.83899999;
2020-09-15 21:32:58;0.21600001;
2020-09-16 03:03:32;0.208;
2020-09-16 20:28:46;0.17299999;
2020-09-17 00:54:24;0.29300001;
2020-09-18 07:29:31;0.153;
2020-09-19 22:52:40;0.185;
2020-09-20 23:03:38;0.23800001;
2020-09-24 07:40:30;0.56599998;
